task,method,method_group,time_step,quality_score,runtime_sec,objective,valid,n_solution_edges,reference_similarity,quality_gap_to_baseline,speedup_vs_full_recompute,reused_solution_rate,changed_edges_ratio,n_changed_edges,n_recomputed_edges,gpu_used,n_queries,n_recomputed_queries,mean_path_risk
Shortest Path,classical_dijkstra_full_recompute,classical,16,7.731097627551899,0.44023515300000327,7.731097627551899,False,,1.0,0.0,1.0,0.0,1.0353497025630982,42293,,,300.0,,
Shortest Path,dynamic_affected_query_path_reuse,dynamic,16,7.731097627551899,0.45957378100001733,7.731097627551899,False,,1.0,0.0,0.9579205150521558,0.0,1.0353497025630982,42293,,,300.0,300.0,
Shortest Path,ai_risk_aware_routing_proxy_inspired_by_gnn_rl,ai_ml,16,8.554338453494033,0.36494680500004506,8.554338453494033,False,,0.37666666666666665,0.10648433968913906,1.2062995126096498,,1.0353497025630982,42293,,,300.0,,0.16742385228790327
Shortest Path,graph_ai_message_passing_routing,graph_ai,16,7.734522677034115,0.39722260299981826,7.734522677034115,False,,0.94,0.00044302240732409855,1.1082832388573938,,1.0353497025630982,42293,,True,300.0,,0.15265139969353364
Shortest Path,classical_dijkstra_full_recompute,classical,17,7.78206103755114,0.40972171399994295,7.78206103755114,False,,1.0,0.0,1.0,0.0,1.0353249449978987,41882,,,300.0,,
Shortest Path,dynamic_affected_query_path_reuse,dynamic,17,7.78206103755114,0.4078368269999828,7.78206103755114,False,,1.0,0.0,1.0046216694402643,0.0,1.0353249449978987,41882,,,300.0,300.0,
Shortest Path,ai_risk_aware_routing_proxy_inspired_by_gnn_rl,ai_ml,17,8.528920462244077,0.37134035799999765,8.528920462244077,False,,0.39666666666666667,0.09597193096906874,1.1033589675161177,,1.0353249449978987,41882,,,300.0,,0.1668246428353252
Shortest Path,graph_ai_message_passing_routing,graph_ai,17,7.783174075314642,0.37709520199996405,7.783174075314642,False,,0.9633333333333334,0.00014302609014911296,1.086520623510829,,1.0353249449978987,41882,,True,300.0,,0.15100732615783236
Shortest Path,classical_dijkstra_full_recompute,classical,18,7.874609176645949,0.44201213700011976,7.874609176645949,False,,1.0,0.0,1.0,0.0,1.035237240829346,41542,,,300.0,,
Shortest Path,dynamic_affected_query_path_reuse,dynamic,18,7.874609176645949,0.4047433440000532,7.874609176645949,False,,1.0,0.0,1.0920800639529769,0.0,1.035237240829346,41542,,,300.0,300.0,
Shortest Path,ai_risk_aware_routing_proxy_inspired_by_gnn_rl,ai_ml,18,8.594802175854744,0.3355471929999112,8.594802175854744,False,,0.41333333333333333,0.09145761815642872,1.317287541726617,,1.035237240829346,41542,,,300.0,,0.1703439468544971
Shortest Path,graph_ai_message_passing_routing,graph_ai,18,7.876564093542371,0.3899232189999111,7.876564093542371,False,,0.9533333333333334,0.0002482557359443477,1.1335876281843593,,1.035237240829346,41542,,True,300.0,,0.15416183773413708
Shortest Path,classical_dijkstra_full_recompute,classical,19,7.9455195680490665,0.4414480550001372,7.9455195680490665,False,,1.0,0.0,1.0,0.0,1.03527252614642,41179,,,300.0,,
Shortest Path,dynamic_affected_query_path_reuse,dynamic,19,7.9455195680490665,0.4025729110001066,7.9455195680490665,False,,1.0,0.0,1.0965667160849286,0.0,1.03527252614642,41179,,,300.0,300.0,
Shortest Path,ai_risk_aware_routing_proxy_inspired_by_gnn_rl,ai_ml,19,8.657601270627499,0.32641718599984415,8.657601270627499,False,,0.44333333333333336,0.08962053349435976,1.3524044502986063,,1.03527252614642,41179,,,300.0,,0.17187008926734387
Shortest Path,graph_ai_message_passing_routing,graph_ai,19,7.947183139052207,0.3620597929998439,7.947183139052207,False,,0.9633333333333334,0.00020937221145740499,1.2192683737194963,,1.03527252614642,41179,,True,300.0,,0.15737507979645585
